,name.fi,location.lat,location.lon,info_url,opening_hours_url,point
382,Saigon House Cafe,60.16715621948242,24.934696197509766,https://fi-fi.facebook.com/SaigonHouseCafe,https://hauki.api.hel.fi/v1/resource/tprek:3987/opening_hours/?start_date=0w&end_date=0w,"[60.16715621948242, 24.934696197509766]"
383,Sakata Cuisine,60.1712532043457,24.938556671142578,https://www.sakatacuisine.com,https://hauki.api.hel.fi/v1/resource/tprek:4211/opening_hours/?start_date=0w&end_date=0w,"[60.1712532043457, 24.938556671142578]"
384,Salve,60.161231994628906,24.929973602294922,https://www.raflaamo.fi/fi/helsinki/salve,https://hauki.api.hel.fi/v1/resource/tprek:1133/opening_hours/?start_date=0w&end_date=0w,"[60.161231994628906, 24.929973602294922]"
385,SameSame,60.15795135498047,24.935579299926758,https://www.samesame.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4138/opening_hours/?start_date=0w&end_date=0w,"[60.15795135498047, 24.935579299926758]"
386,SAMRAT Indian Cuisine,60.1664924621582,24.94470977783203,http://www.samrat.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3483/opening_hours/?start_date=0w&end_date=0w,"[60.1664924621582, 24.94470977783203]"
387,Sandro Kortteli,60.169429779052734,24.93365478515625,https://www.sandro.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2725/opening_hours/?start_date=0w&end_date=0w,"[60.169429779052734, 24.93365478515625]"
388,Sandwich Club,60.16862487792969,24.952281951904297,https://www.sandwichclub.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4076/opening_hours/?start_date=0w&end_date=0w,"[60.16862487792969, 24.952281951904297]"
389,Santa Fe,60.16915512084961,24.944265365600586,http://www.santafe.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2017/opening_hours/?start_date=0w&end_date=0w,"[60.16915512084961, 24.944265365600586]"
390,Satkar,60.169212341308594,24.929731369018555,https://www.satkar.fi/,https://hauki.api.hel.fi/v1/resource/tprek:1468/opening_hours/?start_date=0w&end_date=0w,"[60.169212341308594, 24.929731369018555]"
391,Sea Horse,60.158748626708984,24.94651222229004,http://www.seahorse.fi/,https://hauki.api.hel.fi/v1/resource/tprek:549/opening_hours/?start_date=0w&end_date=0w,"[60.158748626708984, 24.94651222229004]"
392,Sen Chay,60.177730560302734,24.950773239135742,https://fi-fi.facebook.com/Sen-Chay-169008529957447/,https://hauki.api.hel.fi/v1/resource/tprek:3603/opening_hours/?start_date=0w&end_date=0w,"[60.177730560302734, 24.950773239135742]"
393,Seurasaaren Kruunu,60.181236267089844,24.883358001708984,https://seurasaarenkruunu.fi/fi/,https://hauki.api.hel.fi/v1/resource/tprek:1376/opening_hours/?start_date=0w&end_date=0w,"[60.181236267089844, 24.883358001708984]"
394,Shelter,60.168975830078125,24.96021842956543,http://www.shelter.fi,https://hauki.api.hel.fi/v1/resource/tprek:2607/opening_hours/?start_date=0w&end_date=0w,"[60.168975830078125, 24.96021842956543]"
395,Sikke's,60.15766525268555,24.9360294342041,https://sikkes.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3756/opening_hours/?start_date=0w&end_date=0w,"[60.15766525268555, 24.9360294342041]"
396,Siltanen,60.183834075927734,24.959747314453125,https://siltanen.org/,https://hauki.api.hel.fi/v1/resource/tprek:1593/opening_hours/?start_date=0w&end_date=0w,"[60.183834075927734, 24.959747314453125]"
397,Silvoplee,60.18086242675781,24.95067024230957,https://silvoplee.fi/,https://hauki.api.hel.fi/v1/resource/tprek:1596/opening_hours/?start_date=0w&end_date=0w,"[60.18086242675781, 24.95067024230957]"
398,Singapore Hot Wok,60.16911697387695,24.933073043823242,https://kamppihelsinki.fi/fi/yritys/singapore-hot-wok,https://hauki.api.hel.fi/v1/resource/tprek:3522/opening_hours/?start_date=0w&end_date=0w,"[60.16911697387695, 24.933073043823242]"
399,Taverna Zorbas,60.18758010864258,24.948095321655273,http://zorbas.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3497/opening_hours/?start_date=0w&end_date=0w,"[60.18758010864258, 24.948095321655273]"
400,Sipuli,60.169010162353516,24.9602108001709,https://www.ravintolasipuli.fi/,https://hauki.api.hel.fi/v1/resource/tprek:71/opening_hours/?start_date=0w&end_date=0w,"[60.169010162353516, 24.9602108001709]"
401,Skiffer Erottaja,60.16530227661133,24.944215774536133,https://www.skiffer.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2425/opening_hours/?start_date=0w&end_date=0w,"[60.16530227661133, 24.944215774536133]"
402,Skutta Ravintola,60.21216583251953,25.079872131347656,https://skuttaan.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4316/opening_hours/?start_date=0w&end_date=0w,"[60.21216583251953, 25.079872131347656]"
403,Skiffer Kallio,60.185367584228516,24.95274543762207,https://www.skiffer.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3092/opening_hours/?start_date=0w&end_date=0w,"[60.185367584228516, 24.95274543762207]"
404,Skiffer Liuskaluoto,60.152870178222656,24.94651985168457,https://skiffer.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2192/opening_hours/?start_date=0w&end_date=0w,"[60.152870178222656, 24.94651985168457]"
405,Skiffer Töölö,60.1773796081543,24.92219352722168,https://www.skiffer.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4013/opening_hours/?start_date=0w&end_date=0w,"[60.1773796081543, 24.92219352722168]"
406,Skiffer Viiskulma,60.160518646240234,24.94171714782715,https://www.skiffer.fi,https://hauki.api.hel.fi/v1/resource/tprek:3707/opening_hours/?start_date=0w&end_date=0w,"[60.160518646240234, 24.94171714782715]"
407,Social Burgerjoint Citycenter,60.17011260986328,24.941497802734375,https://burgerjoint.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3351/opening_hours/?start_date=0w&end_date=0w,"[60.17011260986328, 24.941497802734375]"
408,Social Burgerjoint Kulmavuorenkatu,60.188392639160156,24.96468734741211,https://burgerjoint.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2927/opening_hours/?start_date=0w&end_date=0w,"[60.188392639160156, 24.96468734741211]"
409,Sofia Ravintola ja Cafe & Bar,60.168800354003906,24.951303482055664,https://sofiahelsinki.fi/sofia-ravintola-ja-cafe-bar/,https://hauki.api.hel.fi/v1/resource/tprek:3454/opening_hours/?start_date=0w&end_date=0w,"[60.168800354003906, 24.951303482055664]"
410,Sofia Helsinki,60.168521881103516,24.951990127563477,https://sofiahelsinki.fi,https://hauki.api.hel.fi/v1/resource/tprek:3385/opening_hours/?start_date=0w&end_date=0w,"[60.168521881103516, 24.951990127563477]"
411,Soppakeittiö,60.16598892211914,24.95277976989746,https://www.facebook.com/SoppakeittioVanhakauppahalli/,https://hauki.api.hel.fi/v1/resource/tprek:1939/opening_hours/?start_date=0w&end_date=0w,"[60.16598892211914, 24.95277976989746]"
412,Southpark Restaurant,60.16269302368164,24.933095932006836,https://www.southparkrestaurant.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2807/opening_hours/?start_date=0w&end_date=0w,"[60.16269302368164, 24.933095932006836]"
413,Starter Restaurant,60.166934967041016,24.921586990356445,https://starterhelsinki.com/,https://hauki.api.hel.fi/v1/resource/tprek:3442/opening_hours/?start_date=0w&end_date=0w,"[60.166934967041016, 24.921586990356445]"
414,Stefan's Steakhouse,60.166404724121094,24.945659637451172,https://www.stefanssteakhouse.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2254/opening_hours/?start_date=0w&end_date=0w,"[60.166404724121094, 24.945659637451172]"
415,Story Kamppi,60.169307708740234,24.934202194213867,https://www.story-restaurants.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3115/opening_hours/?start_date=0w&end_date=0w,"[60.169307708740234, 24.934202194213867]"
416,Story Tripla,60.1985969543457,24.93046760559082,https://www.story-restaurants.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3892/opening_hours/?start_date=0w&end_date=0w,"[60.1985969543457, 24.93046760559082]"
417,Story Vanha Kauppahalli,60.16610336303711,24.952783584594727,https://www.story-restaurants.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2934/opening_hours/?start_date=0w&end_date=0w,"[60.16610336303711, 24.952783584594727]"
418,Street Canteen,60.16895294189453,24.941110610961914,https://www.streetcanteen.fi/,https://hauki.api.hel.fi/v1/resource/tprek:4173/opening_hours/?start_date=0w&end_date=0w,"[60.16895294189453, 24.941110610961914]"
419,Strindberg,60.1678581237793,24.945981979370117,https://www.strindberg.fi/,https://hauki.api.hel.fi/v1/resource/tprek:747/opening_hours/?start_date=0w&end_date=0w,"[60.1678581237793, 24.945981979370117]"
420,Suburritos,60.168521881103516,24.93796730041504,http://suburritos.fi/,https://hauki.api.hel.fi/v1/resource/tprek:2686/opening_hours/?start_date=0w&end_date=0w,"[60.168521881103516, 24.93796730041504]"
421,Sue Ellen Dining room & Bar,60.16648483276367,24.95223617553711,http://www.sue-ellen.fi,https://hauki.api.hel.fi/v1/resource/tprek:3079/opening_hours/?start_date=0w&end_date=0w,"[60.16648483276367, 24.95223617553711]"
422,Sunny Bay,60.17585754394531,24.938800811767578,https://www.sunnybay.fi/,https://hauki.api.hel.fi/v1/resource/tprek:3520/opening_hours/?start_date=0w&end_date=0w,"[60.17585754394531, 24.938800811767578]"
423,Sushi wagocoro,60.18069839477539,24.92521095275879,https://www.facebook.com/sushiwagocoro/,https://hauki.api.hel.fi/v1/resource/tprek:3399/opening_hours/?start_date=0w&end_date=0w,"[60.18069839477539, 24.92521095275879]"
424,Sushibar + Wine City,60.16986846923828,24.942026138305664,https://sushibarwine.com/,https://hauki.api.hel.fi/v1/resource/tprek:3417/opening_hours/?start_date=0w&end_date=0w,"[60.16986846923828, 24.942026138305664]"
425,Sushibar + Wine Freda,60.16706085205078,24.932580947875977,https://sushibarwine.com/,https://hauki.api.hel.fi/v1/resource/tprek:2845/opening_hours/?start_date=0w&end_date=0w,"[60.16706085205078, 24.932580947875977]"
